accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,0,0,-217,132,429,-1,-1,-1
-5,-5,4,-391,-605,-24,-1,-1,-1
-3,0,-2,-106,-145,422,-1,-1,-1
1,0,0,-330,-273,120,-1,-1,-1
1,0,0,-377,-115,240,-1,-1,-1
5,2,1,-605,17,-151,-1,-1,-1
0,-6,1,-41,81,743,-1,-1,-1
2,0,0,-61,-195,371,-1,-1,-1
2,0,0,-272,-142,292,-1,-1,-1
3,0,0,-410,-243,168,-1,-1,-1
-3,-3,-2,-124,170,445,-1,-1,-1
2,0,0,-67,-155,372,-1,-1,-1
2,0,0,-232,-321,88,-1,-1,-1
-2,4,3,833,850,-709,-1,-1,-1
-2,5,6,-232,-6,-583,-1,-1,-1
1,0,0,-33,85,455,-1,-1,-1
2,0,0,-10,-100,381,-1,-1,-1
1,0,0,-242,81,377,-1,-1,-1
-7,-3,-5,116,-922,889,-1,-1,-1
2,0,6,-175,-77,341,-1,-1,-1
3,0,0,-181,-158,181,-1,-1,-1
2,0,0,-234,42,326,-1,-1,-1
-3,-2,-4,-217,164,-408,-1,-1,-1
2,0,0,-105,-57,358,-1,-1,-1
3,0,0,-106,-275,136,-1,-1,-1
